text,code,label
replace carriage return in string `somestring` with empty string '',"somestring.replace('\\r', '')",1
"parse string ""Jun 1 2005  1:33PM"" into datetime by format ""%b %d %Y %I:%M%p""","datetime.strptime('Jun 1 2005  1:33PM', '%b %d %Y %I:%M%p')",9
remove dictionary from list `a` if the value associated with its key 'link' is in list `b`,a = [x for x in a if x['link'] not in b],5
create a list of integers between 2 values `11` and `17`,"list(range(11, 17))",5
Find the list in a list of lists `alkaline_earth_values` with the max value of the second element.,"max(alkaline_earth_values, key=lambda x: x[1])",5
remove leading and trailing zeros in the string 'your_Strip',your_string.strip('0'),1
generate a list of all unique pairs of integers in `range(9)`,"list(permutations(list(range(9)), 2))",5
create a regular expression that matches the pattern '^(.+)(?:\\n|\\r\\n?)((?:(?:\\n|\\r\\n?).+)+)' over multiple lines of text,"re.compile('^(.+)(?:\\n|\\r\\n?)((?:(?:\\n|\\r\\n?).+)+)', re.MULTILINE)",1
"regular expression ""^(.+)\\n((?:\\n.+)+)"" matching a multiline block of text","re.compile('^(.+)\\n((?:\\n.+)+)', re.MULTILINE)",1
sort a multidimensional list `a` by second and third column,"a.sort(key=operator.itemgetter(2, 3))",4
Add a tuple with value `another_choice` to a tuple `my_choices`,"final_choices = ((another_choice,) + my_choices)",7
Add a tuple with value `another_choice` to a tuple `my_choices`,"final_choices = ((another_choice,) + my_choices)",7
"split string 'a b.c' on space "" "" and dot character "".""","re.split('[ .]', 'a b.c')",5
generate random upper-case ascii string of 12 characters length,(''.join(choice(ascii_uppercase) for i in range(12))),1
merge the elements in a list `lst` sequentially,"[''.join(seq) for seq in zip(lst, lst[1:])]",5
Sort list `li` in descending order based on the second element of each list inside list`li`,"sorted(li, key=operator.itemgetter(1), reverse=True)",5
"split string 'Words, words, words.' on punctuation","re.split('\\W+', 'Words, words, words.')",5
"Extract first two substrings in string `phrase` that end in `.`, `?` or `!`","re.match('(.*?[.?!](?:\\s+.*?[.?!]){0,1})', phrase).group(1)",1
split string `s` into strings of repeating elements,"([a for a, b in re.findall('((\\w)\\2*)', s)])",5
Create new string with unique characters from `s` seperated by ' ',(' '.join(OrderedDict.fromkeys(s))),1
create a set from string `s` to remove duplicate characters,(' '.join(set(s))),1
find the count of a word 'Hello' in a string `input_string`,input_string.count('Hello'),0
"reduce the first element of list of strings `data` to a string, separated by '.'",('.'.join([item[0] for item in data])),1
"convert a flat list into a list of tuples of every two items in the list, in order","(zip(my_list[0::2], my_list[1::2]))",5
group a list of ints into a list of tuples of each 2 elements,"my_new_list = zip(my_list[0::2], my_list[1::2])",5
Formate current date and time to a string using pattern '%Y-%m-%d %H:%M:%S',datetime.datetime.now().strftime('%Y-%m-%d %H:%M:%S'),1
retrieve arabic texts from string `my_string`,"(re.findall('[\\u0600-\\u06FF]+', my_string))",5
access value associated with key 'American' of key 'Apple' from dictionary `dict`,dict['Apple']['American'],8
insert a list `k` at the front of list `a`,"a.insert(0, k)",5
insert elements of list `k` into list `a` at position `n`,a = a[:n] + k + a[n:],5
remove elements in list `b` from list `a`,[x for x in a if x not in b],5
join elements of each tuple in list `a` into one string,[''.join(x) for x in a],1
join items of each tuple in list of tuples `a` into a list of strings,"list(map(''.join, a))",5
match blank lines in `s` with regular expressions,"re.split('\n\\s*\n', s)",5
"merge a list of integers `[1, 2, 3, 4, 5]` into a single integer","from functools import reduce\nreduce(lambda x, y: 10 * x + y, [1, 2, 3, 4, 5])",0
Convert float 24322.34 to comma-separated string,"""""""{0:,.2f}"""""".format(24322.34)",1
round 1123.456789 to be an integer,"(round(1123.456789, -1))",0
sort list `X` based on values from another list `Y`,"[x for y, x in sorted(zip(Y, X))]",5
sorting list 'X' based on values from another list 'Y',"[x for y, x in sorted(zip(Y, X))]",5
get equivalent week number from a date `2010/6/16` using  isocalendar,"datetime.date(2010, 6, 16).isocalendar()[1]",0
convert string `s` to lowercase,s.lower(),1
output first 100 characters in a string `my_string`,(my_string[0:100]),1
get set intersection between dictionaries `d1` and `d2`,"dict((x, set(y) & set(d1.get(x, ()))) for x, y in d2.items())",2
"create a dictionary `{'spam': 5, 'ham': 6}` into another dictionary `d` field 'dict3'","d['dict3'] = {'spam': 5, 'ham': 6}",2
merge dictionaries form array `dicts` in a single expression,"dict((k, v) for d in dicts for k, v in list(d.items()))",2
"counting the number of true booleans in a python list `[True, True, False, False, False, True]`","sum([True, True, False, False, False, True])",0
format string with dict `{'5': 'you'}` with integer keys,'hello there %(5)s' % {'5': 'you'},1
"Convert a string of numbers `example_string` separated by `,` into a list of integers","map(int, example_string.split(','))",5
Convert a string of numbers 'example_string' separated by comma into a list of numbers,"[int(s) for s in example_string.split(',')]",5
Flatten list `x`,x = [i[0] for i in x],5
convert list `x` into a flat list,"y = map(operator.itemgetter(0), x)",5
get a list `y` of the first element of every tuple in list `x`,y = [i[0] for i in x],5
extract all the values of a specific key named 'values' from a list of dictionaries,results = [item['value'] for item in test_data],5
get current datetime in ISO format,datetime.datetime.now().isoformat(),1
get UTC datetime in ISO format,datetime.datetime.utcnow().isoformat(),1
get the indices of tuples in list of tuples `L` where the first value is 53,"[i for i, v in enumerate(L) if v[0] == 53]",5
convert string of bytes `y\xcc\xa6\xbb` into an int,"struct.unpack('<L', 'y\xcc\xa6\xbb')[0]",0
create a list with permutations of string 'abcd',list(powerset('abcd')),5
Convert string to boolean from defined set of strings,"s in ['true', '1', 't', 'y', 'yes', 'yeah', 'yup', 'certainly', 'uh-huh']",6
count the number of elements in array `myArray`,len(myArray),0
Match regex '[a-zA-Z][\\w-]*\\Z' on string 'A\n',"re.match('[a-zA-Z][\\w-]*\\Z', 'A\n')",4
match regex '[a-zA-Z][\\w-]*$' on string '!A_B',"re.match('[a-zA-Z][\\w-]*$', '!A_B')",4
"Convert hex string ""deadbeef"" to integer","int('deadbeef', 16)",0
"Convert hex string ""a"" to integer","int('a', 16)",0
"Convert hex string ""0xa"" to integer","int('0xa', 16)",0
Convert hex string `s` to integer,"int(s, 16)",0
Convert hex string `hexString` to int,"int(hexString, 16)",0
print variable `value ` without spaces,"('Value is ""' + str(value) + '""')",1
Print a string `value` with string formatting,"('Value is ""{}""'.format(value))",1
Get only first element in each of the innermost of the multidimensional list `listD`,[[[x[0]] for x in listD[i]] for i in range(len(listD))],5
Sort a string `s` in lexicographic order,"sorted(s, key=str.upper)",5
sort string `s` in lexicographic order,"sorted(sorted(s), key=str.upper)",5
"get a sorted list of the characters of string `s` in lexicographic order, with lowercase letters first","sorted(s, key=str.lower)",5
Reverse key-value pairs in a dictionary `map`,"dict((v, k) for k, v in map.items())",2
convert list of strings `str_list` into list of integers,[int(i) for i in str_list],5
"convert a list with string `['1', '2', '3']` into list with integers","map(int, ['1', '2', '3'])",5
convert list with str into list with int,"list(map(int, ['1', '2', '3']))",5
"remove a substring "".com"" from the end of string `url`",if url.endswith('.com'):\n    url = url[:(-4)],1
"remove a substring "".com"" from the end of string `url`","url = re.sub('\\.com$', '', url)",1
"remove a substring "".com"" from the end of string `url`","(url.replace('.com', ''))",1
remove a substring `suffix` from the end of string `text`,if (not text.endswith(suffix)):\n    return text\nreturn text[:(len(text) - len(suffix))],1
print each first value from a list of tuples `mytuple` with string formatting,"(', ,'.join([str(i[0]) for i in mytuple]))",1
clamping floating number `my_value` to be between `min_value` and `max_value`,"max(min(my_value, max_value), min_value)",0
split a unicode string `text` into a list of words and punctuation characters with a regex,"re.findall('\\w+|[^\\w\\s]', text, re.UNICODE)",5
get digits in string `my_string`,""""""""""""".join(c for c in my_string if c.isdigit())",1
split string `str1` on one or more spaces with a regular expression,"re.split(' +', str1)",5
python split string based on regular expression,"re.findall('\\S+', str1)",5
convert generator object to a dictionary,{i: (i * 2) for i in range(10)},2
convert generator object to a dictionary,"dict((i, i * 2) for i in range(10))",2
split string `s` into float values and write sum to `total`,"total = sum(float(item) for item in s.split(','))",0
Convert ascii value 'P' to binary,bin(ord('P')),1
"print a string after a specific substring ', ' in string `my_string `","(my_string.split(', ', 1)[1])",1
remove colon character surrounded by vowels letters in string `word`,"word = re.sub('([aeiou]):(([aeiou][^aeiou]*){3})$', '\\1\\2', word)",1
pars a string 'http://example.org/#comments' to extract hashtags into an array,"re.findall('#(\\w+)', 'http://example.org/#comments')",5
do a boolean check if a string `lestring` contains any of the items in list `lelist`,any(e in lestring for e in lelist),6
get the number of all keys in the nested dictionary `dict_test`,len(dict_test) + sum(len(v) for v in dict_test.values()),0
return the conversion of decimal `d` to hex without the '0x' prefix,hex(d).split('x')[1],1
create a list containing digits of number 123 as its elements,list(str(123)),5
converting integer `num` to list,[int(x) for x in str(num)],5
reverse correlating bits of integer `n`,"int('{:08b}'.format(n)[::-1], 2)",0
get keys and items of dictionary `d`,list(d.items()),5
get keys and items of dictionary `d` as a list,list(d.items()),5
get max key in dictionary `MyCount`,"max(list(MyCount.keys()), key=int)",0
sort list `a` in ascending order based on the addition of the second and third elements of each tuple in it,"sorted(a, key=lambda x: (sum(x[1:3]), x[0]))",5
sort a list of tuples `a` by the sum of second and third element of each tuple,"sorted(a, key=lambda x: (sum(x[1:3]), x[0]), reverse=True)",5
"sorting a list of tuples `lst` by the sum of the second elements onwards, and third element of the tuple","sorted(lst, key=lambda x: (sum(x[1:]), x[0]))",5
sort the list of tuples `lst` by the sum of every value except the first and by the first value in reverse order,"sorted(lst, key=lambda x: (sum(x[1:]), x[0]), reverse=True)",5
convert date string '24052010' to date object in format '%d%m%Y',"datetime.datetime.strptime('24052010', '%d%m%Y').date()",9
Replace non-ASCII characters in string `text` with a single space,"re.sub('[^\\x00-\\x7F]+', ' ', text)",1
Get a list `myList` from 1 to 10,myList = [i for i in range(10)],5
use regex pattern '((.+?)\\2+)' to split string '44442(2)2(2)44',[m[0] for m in re.compile('((.+?)\\2+)').findall('44442(2)2(2)44')],5
use regular expression '((\\d)(?:[()]*\\2*[()]*)*)' to split string `s`,"[i[0] for i in re.findall('((\\d)(?:[()]*\\2*[()]*)*)', s)]",5
Reverse list `x`,x[::-1],5
"Split a string `text` with comma, question mark or exclamation by non-consuming regex using look-behind","re.split('(?<=[\\.\\?!]) ', text)",5
create a regular expression object with the pattern '\xe2\x80\x93',re.compile('\xe2\x80\x93'),1
declare an array `variable`,variable = [],5
declare an array with element 'i',intarray = array('i'),5
"given list `to_reverse`, reverse the all sublists and the list itself",[sublist[::-1] for sublist in to_reverse[::-1]],5
Replace all non-alphanumeric characters in a string,"re.sub('[^0-9a-zA-Z]+', '*', 'h^&ell`.,|o w]{+orld')",1
"unescape special characters without splitting data in array of strings `['I ', u'<', '3s U ', u'&', ' you luvz me']`",""""""""""""".join(['I ', '<', '3s U ', '&', ' you luvz me'])",1
split string `s` by '@' and get the first element,s.split('@')[0],1
generate a list containing values associated with the key 'value' of each dictionary inside list `list_of_dicts`,[x['value'] for x in list_of_dicts],5
python getting a list of value from list of dict,[d['value'] for d in l],5
python getting a list of value from list of dict,[d['value'] for d in l if 'value' in d],5
"converting string '(1,2,3,4)' to a tuple","ast.literal_eval('(1,2,3,4)')",7
keep a list `dataList` of lists sorted as it is created by second element,dataList.sort(key=lambda x: x[1]),4
remove duplicated items from list of lists `testdata`,"list(map(list, set(map(lambda i: tuple(i), testdata))))",5
uniqueness for list of lists `testdata`,[list(i) for i in set(tuple(i) for i in testdata)],5
"Concat each values in a tuple `(34.2424, -64.2344, 76.3534, 45.2344)` to get a string",""""""""""""".join(str(i) for i in (34.2424, -64.2344, 76.3534, 45.2344))",1
swap each pair of characters in string `s`,""""""""""""".join([s[x:x + 2][::-1] for x in range(0, len(s), 2)])",1
delete items from list `my_list` if the item exist in list `to_dell`,my_list = [[x for x in sublist if x not in to_del] for sublist in my_list],5
find all the elements that consists value '1' in a list of tuples 'a',[item for item in a if 1 in item],5
find all elements in a list of tuples `a` where the first element of each tuple equals 1,[item for item in a if item[0] == 1],5
how to uniqify a list of dict in python,[dict(y) for y in set(tuple(x.items()) for x in d)],5
unpack the binary data represented by the hexadecimal string '4081637ef7d0424a' to a float,"struct.unpack('d', binascii.unhexlify('4081637ef7d0424a'))",7
"find all possible sequences of elements in a list `[2, 3, 4]`","map(list, permutations([2, 3, 4]))",5
sort a list `unsorted_list` based on another sorted list `presorted_list`,"sorted(unsorted_list, key=presorted_list.index)",5
How to get yesterday in python,datetime.datetime.now() - datetime.timedelta(days=1),9
find the index of sub string 'World' in `x`,x.find('World'),0
find the index of sub string 'Aloha' in `x`,x.find('Aloha'),0
find the index of sub string 'df' in string 'sdfasdf','sdfasdf'.index('df'),0
find the index of sub string 'a' in string `str`,str.find('a'),0
find the index of sub string 'g' in string `str`,str.find('g'),0
find the index of sub string 's' in string `str` starting from index 11,"str.find('s', 11)",0
find the index of sub string 's' in string `str` starting from index 15,"str.find('s', 15)",0
find the index of sub string 's' in string `str` starting from index 16,"str.find('s', 16)",0
find the index of sub string 's' in string `str` starting from index 11 and ending at index 14,"str.find('s', 11, 14)",0
sort list of date strings 'd',"sorted(d, key=lambda x: datetime.datetime.strptime(x, '%m-%Y'))",5
Get all the sentences from a string `text` using regex,"re.split('\\.\\s', text)",5
Regular expression in Python sentence extractor,"re.split('\\.\\s', re.sub('\\.\\s*$', '', text))",5
get all characters in string 'foobar' up to the fourth index,"""""""foobar""""""[:4]",1
cut a string by delimiter '&',s.rfind('&'),0
cut a string using delimiter '&',s[:s.rfind('&')],1
split string 'x+13.5*10x-4e1' into tokens,"([i for i in re.split('([\\d.]+|\\W+)', 'x+13.5*10x-4e1') if i])",5
Find all Chinese characters in string `ipath`,"re.findall('[\u4e00-\u9fff]+', ipath)",5
split string `s` by letter 's',s.split('s'),5
convert a list of dictionaries `listofdict into a dictionary of dictionaries,"dict((d['name'], d) for d in listofdict)",2
print current date and time in a regular format,datetime.datetime.now().strftime('%Y-%m-%d %H:%M'),1
print current date and time in a regular format,time.strftime('%Y-%m-%d %H:%M'),1
find consecutive consonants in a word `CONCENTRATION` using regex,"re.findall('[bcdfghjklmnpqrstvwxyz]+', 'CONCERTATION', re.IGNORECASE)",5
get a list of indices of non zero elements in a list `a`,"[i for i, e in enumerate(a) if e != 0]",5
get multiple integer values from a string 'string1',"map(int, re.findall('\\d+', string1))",5
parse string '2015/01/01 12:12am' to DateTime object using format '%Y/%m/%d %I:%M%p',"datetime.strptime('2015/01/01 12:12am', '%Y/%m/%d %I:%M%p')",9
find maximum with lookahead = 4 in a list `arr`,"[max(abs(x) for x in arr[i:i + 4]) for i in range(0, len(arr), 4)]",5
get a list `no_integers` of all the items in list `mylist` that are not of type `int`,"no_integers = [x for x in mylist if not isinstance(x, int)]",5
"concatenate key/value pairs in dictionary `a` with string ', ' into a single string",""""""", """""".join([(str(k) + ' ' + str(v)) for k, v in list(a.items())])",1
"Strip all non-ASCII characters from a unicode string, `\xa3\u20ac\xa3\u20ac`","(set(re.sub('[\x00-\x7f]', '', '\xa3\u20ac\xa3\u20ac')))",3
Get all non-ascii characters in a unicode string `\xa3100 is worth more than \u20ac100`,"(re.sub('[\x00-\x7f]', '', '\xa3100 is worth more than \u20ac100'))",1
"build a dict of key:value pairs from a string representation of a dict, `{'muffin' : 'lolz', 'foo' : 'kitty'}`","ast.literal_eval(""{'muffin' : 'lolz', 'foo' : 'kitty'}"")",2
Print string `t` with proper unicode representations,(t.decode('unicode_escape')),1
Normalize string `str` from 'cp1252' code to 'utf-8' code,(str.encode('cp1252').decode('utf-8').encode('cp1252').decode('utf-8')),1
merge lists `list_a` and `list_b` into a list of tuples,"zip(list_a, list_b)",5
merge lists `a` and `a` into a list of tuples,"list(zip(a, b))",5
Can I sort text by its numeric value in Python?,"sorted(list(mydict.items()), key=lambda a: map(int, a[0].split('.')))",5
remove parentheses and text within it in string `filename`,"re.sub('\\([^)]*\\)', '', filename)",1
Check if string 'a b' only contains letters and spaces,"""""""a b"""""".replace(' ', '').isalpha()",6
sum each element `x` in list `first` with element `y` at the same index in list `second`.,"[(x + y) for x, y in zip(first, second)]",5
sort a python dictionary `a_dict` by element `1` of the value,"sorted(list(a_dict.items()), key=lambda item: item[1][1])",5
How to exclude a character from a regex group?,re.compile('[^a-zA-Z0-9-]+'),1
get index of the biggest 2 values of a list `a`,"sorted(list(range(len(a))), key=lambda i: a[i])[-2:]",5
get the indexes of the largest `2` values from a list of integers `a`,"sorted(list(range(len(a))), key=lambda i: a[i], reverse=True)[:2]",5
get index of key 'c' in dictionary `x`,list(x.keys()).index('c'),0
Print +1 using format '{0:+d}',('{0:+d}'.format(score)),1
"remove adjacent duplicate elements from a list `[1, 2, 2, 3, 2, 2, 4]`","[k for k, g in itertools.groupby([1, 2, 2, 3, 2, 2, 4])]",5
"split string ""0,1,2"" based on delimiter ','","""""""0,1,2"""""".split(',')",5
"convert the string '0,1,2' to a list of integers","[int(x) for x in '0,1,2'.split(',')]",5
"convert list of key-value tuples `[('A', 1), ('B', 2), ('C', 3)]` into dictionary","dict([('A', 1), ('B', 2), ('C', 3)])",2
Get day name from a datetime object,date.today().strftime('%A'),1
Python regular expression match whole word,"re.search('\\bis\\b', your_string)",4
make a flat list from list of lists `sublist`,[item for sublist in l for item in sublist],5
make a flat list from list of lists `list2d`,list(itertools.chain(*list2d)),5
make a flat list from list of lists `list2d`,list(itertools.chain.from_iterable(list2d)),5
convert ascii value 'a' to int,ord('a'),0
replace white spaces in string '  a\n b\n c\nd  e' with empty string '',"re.sub('(?m)^[^\\S\\n]+', '', '  a\n b\n c\nd  e')",1
remove white spaces from all the lines using a regular expression in string 'a\n b\n c',"re.sub('(?m)^\\s+', '', 'a\n b\n c')",1
"destruct elements of list `[1, 2, 3]` to variables `a`, `b` and `c`","a, b, c = [1, 2, 3]",0
split list `mylist` into a list of lists whose elements have the same first five characters,"[list(v) for k, v in itertools.groupby(mylist, key=lambda x: x[:5])]",5
remove all instances of parenthesesis containing text beginning with `as ` from string `line`,"line = re.sub('\\(+as .*?\\) ', '', line)",1
skip the newline while printing `line`,(line.rstrip('\n')),1
create a list containing the indices of elements greater than 4 in list `a`,"[i for i, v in enumerate(a) if v > 4]",5
reverse list `yourdata`,"sorted(yourdata, reverse=True)",5
sort list of nested dictionaries `yourdata` in reverse based on values associated with each dictionary's key 'subkey',"sorted(yourdata, key=lambda d: d.get('key', {}).get('subkey'), reverse=True)",5
sort list of nested dictionaries `yourdata` in reverse order of 'key' and 'subkey',"yourdata.sort(key=lambda e: e['key']['subkey'], reverse=True)",5
get the tuple in list `a_list` that has the largest item in the second index,"max_item = max(a_list, key=operator.itemgetter(1))",7
find tuple in list of tuples `a_list` with the largest second element,"max(a_list, key=operator.itemgetter(1))",7
"extract elements at indices (1, 2, 5) from a list `a`","[a[i] for i in (1, 2, 5)]",5
convert a date string `s` to a datetime object,"datetime.datetime.strptime(s, '%Y-%m-%dT%H:%M:%SZ')",9
replace only first occurence of string `TEST` from a string `longlongTESTstringTEST`,"'longlongTESTstringTEST'.replace('TEST', '?', 1)",1
create a dictionary of pairs from a list of tuples `myListOfTuples`,dict(x[1:] for x in reversed(myListOfTuples)),2
subtract elements of list `List1` from elements of list `List2`,"[(x1 - x2) for x1, x2 in zip(List1, List2)]",5
check if string `string` starts with a number,string[0].isdigit(),6
"Check if string `strg` starts with any of the elements in list ('0', '1', '2', '3', '4', '5', '6', '7', '8', '9')","strg.startswith(('0', '1', '2', '3', '4', '5', '6', '7', '8', '9'))",6
"split string `text` by the occurrences of regex pattern '(?<=\\?|!|\\.)\\s{0,2}(?=[A-Z]|$)'","re.split('(?<=\\?|!|\\.)\\s{0,2}(?=[A-Z]|$)', text)",5
rearrange tuple of tuples `t`,tuple(zip(*t)),7
convert a list `L` of ascii values to a string,""""""""""""".join(chr(i) for i in L)",1
count the number of pairs in dictionary `d` whose value equal to `chosen_value`,sum(x == chosen_value for x in list(d.values())),0
count the number of values in `d` dictionary that are predicate to function `some_condition`,sum(1 for x in list(d.values()) if some_condition(x)),0
convert double 0.00582811585976 to float,"struct.unpack('f', struct.pack('f', 0.00582811585976))",7
convert datetime.date `dt` to utc timestamp,"timestamp = (dt - datetime(1970, 1, 1)).total_seconds()",0
print the truth value of `a`,(bool(a)),6
Sort a list of strings 'words' such that items starting with 's' come first.,"sorted(words, key=lambda x: 'a' + x if x.startswith('s') else 'b' + x)",5
"fetch all elements in a dictionary `parent_dict`, falling between two keys 2 and 4","dict((k, v) for k, v in parent_dict.items() if 2 < k < 4)",2
fetch all elements in a dictionary 'parent_dict' where the key is between the range of 2 to 4,"dict((k, v) for k, v in parent_dict.items() if k > 2 and k < 4)",2
sort two lists `list1` and `list2` together using lambda function,"[list(x) for x in zip(*sorted(zip(list1, list2), key=lambda pair: pair[0]))]",5
get the number of values in list `j` that is greater than 5,sum(((i > 5) for i in j)),0
get the number of values in list `j` that is greater than 5,len([1 for i in j if (i > 5)]),0
"zip list `a`, `b`, `c` into a list of tuples","[(x + tuple(y)) for x, y in zip(zip(a, b), c)]",5
get a list of booleans `z` that shows wether the corresponding items in list `x` and `y` are equal,"z = [(i == j) for i, j in zip(x, y)]",5
create a list which indicates whether each element in `x` and `y` is identical,[(x[i] == y[i]) for i in range(len(x))],5
Python: Extract numbers from a string,"[int(s) for s in re.findall('\\b\\d+\\b', ""he33llo 42 I'm a 32 string 30"")]",5
unpack first and second bytes of byte string `pS` into integer,"struct.unpack('h', pS[0:2])",7
print list `t` into a table-like shape,"('\n'.join('  '.join(map(str, row)) for row in t))",1
"replace `0` with `2` in the list `[0, 1, 0, 3]`","[(a if a else 2) for a in [0, 1, 0, 3]]",5
Produce a string that is suitable as Unicode literal from string 'M\\N{AMPERSAND}M\\N{APOSTROPHE}s','M\\N{AMPERSAND}M\\N{APOSTROPHE}s'.encode().decode('unicode-escape'),1
convert Unicode codepoint to utf8 hex,"chr(int('fd9b', 16)).encode('utf-8')",1
use upper case letters to print hex value `value`,('0x%X' % value),1
get a list `cleaned` that contains all non-empty elements in list `your_list`,cleaned = [x for x in your_list if x],5
create a slice object using string `string_slice`,slice(*[(int(i.strip()) if i else None) for i in string_slice.split(':')]),5
convert dictionary `adict` into string,""""""""""""".join('{}{}'.format(key, val) for key, val in sorted(adict.items()))",1
convert dictionary `adict` into string,""""""""""""".join('{}{}'.format(key, val) for key, val in list(adict.items()))",1
copy list `old_list` as `new_list`,new_list = old_list[:],5
copy list `old_list` as `new_list`,new_list = list(old_list),5
copy list `old_list` as `new_list`,new_list = copy.copy(old_list),5
deep copy list `old_list` as `new_list`,new_list = copy.deepcopy(old_list),5
make a copy of list `old_list`,[i for i in old_list],5
Print a emoji from a string `\\ud83d\\ude4f` having surrogate pairs,"""""""\\ud83d\\ude4f"""""".encode('utf-16', 'surrogatepass').decode('utf-16')",1
How to get the length of words in a sentence?,[len(x) for x in s.split()],5
find all substrings in `mystring` beginning and ending with square brackets,"re.findall('\\[(.*?)\\]', mystring)",5
"Format all floating variables `var1`, `var2`, `var3`, `var1` to print to two decimal places.","('%.2f kg = %.2f lb = %.2f gal = %.2f l' % (var1, var2, var3, var4))",1
Remove all items from a dictionary `d` where the values are less than `1`,"d = dict((k, v) for k, v in d.items() if v > 0)",2
Filter dictionary `d` to have items with value greater than 0,"d = {k: v for k, v in list(d.items()) if v > 0}",2
extract floating number from string 'Current Level: 13.4 db.',"re.findall('\\d+\\.\\d+', 'Current Level: 13.4 db.')",5
extract floating point numbers from a string 'Current Level: -13.2 db or 14.2 or 3',"re.findall('[-+]?\\d*\\.\\d+|\\d+', 'Current Level: -13.2 db or 14.2 or 3')",5
pair each element in list `it` 3 times into a tuple,"zip(it, it, it)",5
"append dict `{'f': var6, 'g': var7, 'h': var8}` to value of key `e` in dict `jsobj['a']['b']`","jsobj['a']['b']['e'].append({'f': var6, 'g': var7, 'h': var8})",2
Concat a list of strings `lst` using string formatting,""""""""""""".join(lst)",1
sum values greater than 0 in dictionary `d`,sum(v for v in list(d.values()) if v > 0),0
check if dictionary `subset` is a subset of dictionary `superset`,all(item in list(superset.items()) for item in list(subset.items())),6
Convert integer elements in list `wordids` to strings,[str(wi) for wi in wordids],5
format floating point number  `TotalAmount` to be rounded off to two decimal places and have a comma thousands' seperator,"('Total cost is: ${:,.2f}'.format(TotalAmount))",1
create list `randomList` with 10 random floating point numbers between 0.0 and 1.0,randomList = [random.random() for _ in range(10)],5
get a random key `country` and value `capital` form a dictionary `d`,"country, capital = random.choice(list(d.items()))",7
split string `Word to Split` into a list of characters,list('Word to Split'),5
Validate IP address using Regex,"pat = re.compile('^\\d{1,3}\\.\\d{1,3}\\.\\d{1,3}\\.\\d{1,3}$')",1
check if all lists in list `L` have three elements of integer 1,all(x.count(1) == 3 for x in L),6
Get a list comparing two lists of tuples `l1` and `l2` if any first value in `l1` matches with first value in `l2`,[x[0] for x in l1 if any(x[0] == y[0] for y in l2)],5
convert list `a` from being consecutive sequences of tuples into a single sequence of elements,list(itertools.chain(*a)),5
Set value for key `a` in dict `count` to `0` if key `a` does not exist or if value is `none`,"count.setdefault('a', 0)",0
get number in list `myList` closest in value to number `myNumber`,"min(myList, key=lambda x: abs(x - myNumber))",0
check if any of the items in list `search` appear in `string`,any(x in string for x in search),6
Get a list `C` by subtracting values in one list `B` from corresponding values in another list `A`,"C = [(a - b) for a, b in zip(A, B)]",5
"derive the week start for the given week number and year ‘2011, 4, 0’","datetime.datetime.strptime('2011, 4, 0', '%Y, %U, %w')",9
"convert a list of strings `['1', '-1', '1']` to a list of numbers","map(int, ['1', '-1', '1'])",5
"create datetime object from ""16sep2012""","datetime.datetime.strptime('16Sep2012', '%d%b%Y')",9
print a digit `your_number` with exactly 2 digits after decimal,('{0:.2f}'.format(your_number)),1
generate a 12-digit random number,"random.randint(100000000000, 999999999999)",0
generate a random 12-digit number,"int(''.join(str(random.randint(0, 9)) for _ in range(12)))",0
generate a random 12-digit number,""""""""""""".join(str(random.randint(0, 9)) for _ in range(12))",1
generate a 12-digit random number,"'%0.12d' % random.randint(0, 999999999999)",1
sort list `trial_list` based on values of dictionary `trail_dict`,"sorted(trial_list, key=lambda x: trial_dict[x])",5
encode unicode string '\xc5\xc4\xd6' to utf-8 code,('\xc5\xc4\xd6'.encode('UTF8')),1
get the first element of each tuple from a list of tuples `G`,[x[0] for x in G],5
regular expression matching all but 'aa' and 'bb' for string `string`,"re.findall('-(?!aa-|bb-)([^-]+)', string)",5
regular expression matching all but 'aa' and 'bb',"re.findall('-(?!aa|bb)([^-]+)', string)",5
remove false entries from a dictionary `hand`,"{k: v for k, v in list(hand.items()) if v}",2
Get a dictionary from a dictionary `hand` where the values are present,"dict((k, v) for k, v in hand.items() if v)",2
generate random Decimal,decimal.Decimal(random.randrange(10000)) / 100,0
get keys with same value in dictionary `d`,([key for key in d if d[key] == 1]),5
get keys with same value in dictionary `d`,"([key for key, value in d.items() if value == 1])",5
Get keys from a dictionary 'd' where the value is '1'.,"([key for key, value in list(d.items()) if value == 1])",5
create list of 'size' empty strings,strs = ['' for x in range(size)],5
remove duplicate dict in list `l`,[dict(t) for t in set([tuple(d.items()) for d in l])],5
"append `date` to list value of `key` in dictionary `dates_dict`, or create key `key` with value `date` in a list if it does not exist","dates_dict.setdefault(key, []).append(date)",5
How do I translate a ISO 8601 datetime string into a Python datetime object?,"datetime.datetime.strptime('2007-03-04T21:08:12', '%Y-%m-%dT%H:%M:%S')",9
sort list `a` using the first dimension of the element as the key to list `b`,a.sort(key=lambda x: b.index(x[0])),4
How to sort a list according to another list?,a.sort(key=lambda x_y: b.index(x_y[0])),4
Sort items in dictionary `d`  using the first part of the key after splitting the key,"sorted(list(d.items()), key=lambda name_num: (name_num[0].rsplit(None, 1)[0], name_num[1]))",5
"create a set that is the exclusive or of [1, 2, 3] and [3, 4, 5]","set([1, 2, 3]) ^ set([3, 4, 5])",3
